baitChr	baitStart	baitEnd	baitID	baitName	oeChr	oeStart	oeEnd	oeID	oeName	dist	Mon	Mac0	Mac1	Mac2	Neu	MK	EP	Ery	FoeT	nCD4	tCD4	aCD4	naCD4	nCD8	tCD8	nB	tB
10	127584140	127586225	100441	DHX32;FANK1	22	21683210	21687443	430388	.		0	0	0	0.197784883455326	0	0	1.39045109753248	0	0	0	5.04960514825781	0	0	0	0	0	0
11	62437951	62440803	120821	C11orf48;C11orf83	22	37893577	37893876	434184	.		0	0	24.0873753503641	2.68795548791094	0	7.69795991493695	0	0	0.844081496383731	0.319529788895051	6.11480472617259	0	6.68667695790484	1.19618119401652	0	0	0
11	62441447	62457025	120824	UBXN1	22	37893577	37893876	434184	.		7.35639321367486	27.3106354910582	65.3610347257787	17.8922685204446	17.6601762663006	50.6295205851897	19.3944276528318	22.6100168506266	0	39.2696180234511	32.7950903936491	19.2106468126856	25.5534484171629	40.9130846436242	25.7042639358377	13.9854539528008	34.2323829464088
12	56434788	56438101	158096	RP11-603J24.4;RPS26	22	44658753	44676447	435551	.		3.92101543398813	0	0	0	0	0	0	11.1189641511958	0	0	0	0	0	0	0	0	0
14	20343538	20347767	210534	OR4K2	22	16346319	16346737	429345	.		0	3.15752619826048	4.14372568865722	3.38731523943809	0	0	12.136876193137	0.188243645902209	0.388248845456471	0.85562964246679	0	0	0	0	0	0	0
14	20343538	20347767	210534	OR4K2	22	16348049	16350475	429347	.		0	4.7074262917715	0.220235447839786	0	16.3257172169817	2.96851836941206	0	0	0	0	1.92485480754259	0	0	2.20731211323575	0	0	0
14	20381942	20390314	210556	OR4K5	22	16348049	16350475	429347	.		0	6.27288340385288	0	0	0	0	0	0.790216372216979	0	0	0	0	0	0	0	0	0
14	20583141	20586214	210626	OR4K17	22	16346319	16346737	429345	.		0	0	0	3.38731523943809	0	0	0.145934555995116	0	5.26139021951492	0.85562964246679	0	0	0	0	0	0	0
16	33960920	33964162	266745	AC136932.1;LINC00273	22	34314675	34319101	433266	LARGE;LL22NC03-32F9.1		0.82147151783722	0	0	0	14.8955585924761	0	0	0	0	0	0	0	0	0	0	0	0
16	3763938	3777273	259391	TRAP1	22	41253799	41254523	434878	.		0	0	0	0	7.60791837909029	0	0	0	0	2.84924145531047	8.01403543676221	0	12.8671453441219	7.29599082828444	8.81257807585851	0	4.63077079753448
16	5808644	5813214	259818	AC012175.1	22	33338231	33339331	432979	.		11.3602482539456	0	4.34557242181395	0	4.9461083972669	0	0	0	0	0	0	0	0	0	0	0	0
19	48546589	48549456	330022	CABP5	22	45377032	45380616	435686	.		0	0	0	0	0	2.88115747697206	24.3472345172388	0	0	0	0	0	0	0	0	0	0
